LIMIT_BAL;CHECKING_ACCOUNT;EDUCATION;MARRIAGE;AGE;BILL_AMT;PAY_AMT1;DEFAULT_AMT
6022;Yes;2.University;Married;24;934,0122;0;1
36132;Yes;2.University;Single;26;519,3975;0;1
27099;Yes;2.University;Single;34;4223,5297;457,0698;0
15055;Yes;2.University;Married;37;14522,9563;602,2;0
15055;No;2.University;Married;57;1707,237;602,2;0
150550;No;3.Graduate School;Single;29;124060,1253;16560,5;0
30110;Yes;2.University;Single;23;114,418;114,418;0
42154;Yes;1.High School;Married;28;4244,3056;1002,3619;0
60220;Yes;1.High School;Single;34;2946,8657;694,3366;0
78286;Yes;3.Graduate School;Single;51;6524,837;6524,837;0
189693;Yes;2.University;Single;41;1957,15;301,1;0
21077;No;2.University;Single;30;20284,8059;963,52;0
75275;No;3.Graduate School;Single;29;20191,766;903,3;0
6022;No;3.Graduate School;Single;24;5422,811;963,52;0
96352;No;3.Graduate School;Married;49;74231,9896;3118,7938;0
39143;Yes;1.High School;Single;39;8336,8568;903,3;0
36132;Yes;2.University;Married;39;95,1476;95,1476;0
21077;Yes;2.University;Single;26;12780,1895;604,3077;0
135495;Yes;3.Graduate School;Married;40;5847,362;5847,362;0
15055;No;1.High School;Single;23;12588,991;594,0703;0
15055;Yes;1.High School;Single;30;4859,1518;391,43;0
15055;Yes;1.High School;Married;47;1028,2565;1028,2565;0
15055;No;3.Graduate School;Single;26;4990,7325;451,65;0
69253;Yes;3.Graduate School;Single;27;5198,4915;5198,4915;0
15055;No;2.University;Single;33;8917,9798;517,2898;0
30110;No;3.Graduate School;Single;32;25313,7781;910,2253;0
150550;Yes;2.University;Married;54;1250,1672;1250,1672;0
150550;No;3.Graduate School;Married;58;1507,3066;1507,3066;0
84308;No;2.University;Married;40;54597,8608;2416,6286;0
18066;Yes;2.University;Single;22;2952,5866;451,65;0
84308;No;3.Graduate School;Single;31;2732,4825;2732,4825;0
108396;No;3.Graduate School;Single;33;66632,2256;3011;0
21077;Yes;3.Graduate School;Single;25;20173,3989;903,3;0
3011;No;2.University;Single;22;958,7024;451,65;0
42154;Yes;2.University;Married;37;18530,8984;903,3;0
12044;Yes;3.Graduate School;Single;30;6411,9245;903,3;0
6022;Yes;3.Graduate School;Single;22;4963,3324;903,3;0
114418;No;2.University;Single;32;6485,694;6485,694;0
6022;No;3.Graduate School;Single;24;5564,0269;396,8498;0
21077;No;1.High School;Single;42;10891,0881;0;1
93341;Yes;2.University;Married;49;2368,7537;2368,7537;0
54198;Yes;3.Graduate School;Single;25;12568,5162;391,43;0
45165;Yes;3.Graduate School;Single;29;10536,3923;481,76;0
150550;Yes;3.Graduate School;Married;45;1096,004;1096,004;0
54198;Yes;1.High School;Married;34;4755,2723;2559,35;0
54198;Yes;2.University;Married;34;52222,784;2433,7913;0
60220;Yes;3.Graduate School;Single;34;330,6078;0;1
150550;Yes;1.High School;Married;28;7117,4018;456,4676;0
15055;No;3.Graduate School;Single;29;7316,73;0;1
60220;No;3.Graduate School;Married;57;44788,9261;0;1
3011;No;2.University;Married;56;1262,5123;692,53;0
63231;Yes;3.Graduate School;Single;30;90,33;90,33;0
96352;No;2.University;Single;29;17838,9706;752,75;0
102374;No;3.Graduate School;Single;32;1671,105;1671,105;0
6022;No;2.University;Single;24;5183,7376;858,135;0
15055;No;1.High School;Single;25;11208,4475;529,6349;0
90330;Yes;3.Graduate School;Married;45;87,6201;87,6201;0
108396;Yes;3.Graduate School;Single;26;8369,3756;1444,0756;0
18066;No;1.High School;Single;30;8271,5181;474,5336;0
120440;Yes;2.University;Married;44;41870,966;3221,77;0
15055;Yes;1.High School;Single;49;14411,5493;504,6436;0
48176;No;2.University;Single;33;32460,9888;1324,84;0
108396;Yes;3.Graduate School;Married;45;352,287;352,287;0
48176;Yes;2.University;Single;32;1430,5261;345,3617;0
39143;Yes;3.Graduate School;Married;35;35489,4526;12044;0
6022;No;1.High School;Single;44;2500,0333;0;1
60220;No;3.Graduate School;Married;53;42387,0514;1896,93;0
48176;Yes;2.University;Married;37;482,3622;482,3622;0
18066;Yes;2.University;Single;23;14106,535;583,2307;0
27099;No;2.University;Single;35;25893,3956;1090,2831;0
108396;No;3.Graduate School;Married;43;2505,7542;2505,7542;0
45165;No;3.Graduate School;Single;27;25927,1188;1213,7341;0
15055;Yes;1.High School;Married;22;5467,976;424,8521;0
6022;No;2.University;Married;38;5831,4037;511,5689;0
42154;No;3.Graduate School;Single;32;3074,8332;3074,8332;0
144528;No;3.Graduate School;Married;63;129877,0762;4841,0858;0
15055;Yes;1.High School;Single;22;12722,6794;532,0437;0
18066;Yes;2.University;Single;26;16623,1288;0;1
24088;Yes;2.University;Married;36;861,4471;861,4471;0
105385;No;3.Graduate School;Single;52;684,0992;684,0992;0
99363;Yes;3.Graduate School;Married;31;32648,5741;2788,186;0
15055;No;1.High School;Married;47;4432,7942;602,2;0
84308;No;2.University;Married;41;41711,9852;1957,15;0
30110;Yes;3.Graduate School;Single;24;15865,5612;602,2;0
15055;No;2.University;Single;41;5809,4234;403,474;0
9033;No;3.Graduate School;Single;24;5304,7798;0;1
72264;No;3.Graduate School;Single;28;98,1586;98,1586;0
24088;No;2.University;Single;26;4664,9423;602,2;0
120440;No;2.University;Married;34;2910,4326;2910,4326;0
72264;Yes;2.University;Single;38;15490,0895;602,2;0
15055;No;1.High School;Single;37;13843,3736;301,1;0
6022;No;3.Graduate School;Single;27;5709,4582;422,7444;0
60220;No;1.High School;Single;52;29968,483;1074,3248;0
